# This file has calculated legendre symbols (m/n)
# for 2 <= m, n <= 100, and n odd prime.
# The outputs look like [ m, n, legendre(m,n) ]
[ 2, 3, -1 ]
[ 2, 5, -1 ]
[ 2, 7, 1 ]
[ 2, 11, -1 ]
[ 2, 13, -1 ]
[ 2, 17, 1 ]
[ 2, 19, -1 ]
[ 2, 23, 1 ]
[ 2, 29, -1 ]
[ 2, 31, 1 ]
[ 2, 37, -1 ]
[ 2, 41, 1 ]
[ 2, 43, -1 ]
[ 2, 47, 1 ]
[ 2, 53, -1 ]
[ 2, 59, -1 ]
[ 2, 61, -1 ]
[ 2, 67, -1 ]
[ 2, 71, 1 ]
[ 2, 73, 1 ]
[ 2, 79, 1 ]
[ 2, 83, -1 ]
[ 2, 89, 1 ]
[ 2, 97, 1 ]
[ 3, 3, 0 ]
[ 3, 5, -1 ]
[ 3, 7, -1 ]
[ 3, 11, 1 ]
[ 3, 13, 1 ]
[ 3, 17, -1 ]
[ 3, 19, -1 ]
[ 3, 23, 1 ]
[ 3, 29, -1 ]
[ 3, 31, -1 ]
[ 3, 37, 1 ]
[ 3, 41, -1 ]
[ 3, 43, -1 ]
[ 3, 47, 1 ]
[ 3, 53, -1 ]
[ 3, 59, 1 ]
[ 3, 61, 1 ]
[ 3, 67, -1 ]
[ 3, 71, 1 ]
[ 3, 73, 1 ]
[ 3, 79, -1 ]
[ 3, 83, 1 ]
[ 3, 89, -1 ]
[ 3, 97, 1 ]
[ 4, 3, 1 ]
[ 4, 5, 1 ]
[ 4, 7, 1 ]
[ 4, 11, 1 ]
[ 4, 13, 1 ]
[ 4, 17, 1 ]
[ 4, 19, 1 ]
[ 4, 23, 1 ]
[ 4, 29, 1 ]
[ 4, 31, 1 ]
[ 4, 37, 1 ]
[ 4, 41, 1 ]
[ 4, 43, 1 ]
[ 4, 47, 1 ]
[ 4, 53, 1 ]
[ 4, 59, 1 ]
[ 4, 61, 1 ]
[ 4, 67, 1 ]
[ 4, 71, 1 ]
[ 4, 73, 1 ]
[ 4, 79, 1 ]
[ 4, 83, 1 ]
[ 4, 89, 1 ]
[ 4, 97, 1 ]
[ 5, 3, -1 ]
[ 5, 5, 0 ]
[ 5, 7, -1 ]
[ 5, 11, 1 ]
[ 5, 13, -1 ]
[ 5, 17, -1 ]
[ 5, 19, 1 ]
